Part Number,brand,Model,Rank,Benchmark,Samples,Title,Price,Image URL,Frequency,Cores,Socket,Unlocked Multiplier
BX8071514900KS,Intel,Core i9-14900KS,1,133.0,1592,"Procesor Intel Core i9-14900KS, 3.2 GHz, 36 MB, OEM (CM8071504820506)","2 980,99 zł",https://images.morele.net/i256/13221540_0_i256.jpg,3.2 GHz,24 rdzenie,Socket 1700,Tak
BX8071514900KS,Intel,Core i9-14900KS,1,133.0,1592,"Procesor Intel Core i9-14900KS, 3.2 GHz, 36 MB, BOX (BX8071514900KS )",2 999 zł,https://images.morele.net/i256/13183308_4_i256.jpg,3.2 GHz,24 rdzenie,Socket 1700,Tak
BX8071514900KF,Intel,Core i9-14900KF,2,131.0,7773,"Procesor Intel Core i9-14900KF, 3.2 GHz, 36 MB, OEM (CM8071505094018)","1 983,88 zł",https://images.morele.net/i256/13133239_1_i256.jpg,3.2 GHz,24 rdzenie,Socket 1700,Tak
BX8071514900KF,Intel,Core i9-14900KF,2,131.0,7773,"Procesor Intel Core i9-14900KF, 3.2 GHz, 36 MB, BOX (BX8071514900KF)","1 828,44 zł",https://images.morele.net/i256/13123068_0_i256.jpg,3.2 GHz,24 rdzenie,Socket 1700,Tak
BX8071514900K,Intel,Core i9-14900K,3,131.0,19876,"Procesor Intel Core i9-14900K, 3.2 GHz, 36 MB, OEM (CM8071505094017)","2 083,28 zł",https://images.morele.net/i256/13133238_1_i256.jpg,3.2 GHz,24 rdzenie,Socket 1700,Tak
BX8071514900K,Intel,Core i9-14900K,3,131.0,19876,"Procesor Intel Core i9-14900K, 3.2 GHz, 36 MB, BOX (BX8071514900K)","2 081,81 zł",https://images.morele.net/i256/13123067_0_i256.jpg,3.2 GHz,24 rdzenie,Socket 1700,Tak
BX8071513900KS,Intel,Core i9-13900KS,4,131.0,4204,"Procesor Intel Core i9-13900KS, 3.2 GHz, 36 MB, BOX (BX8071513900KS)","3 646,49 zł",https://images.morele.net/i256/12580400_1_i256.jpg,3.2 GHz,24 rdzenie,Socket 1700,Tak
BX8071514700KF,Intel,Core i7-14700KF,5,130.0,4842,"Procesor Intel Core i7-14700KF, 3.4 GHz, 33 MB, OEM (CM8071504820722)","1 438,36 zł",https://images.morele.net/i256/13133237_1_i256.jpg,3.4 GHz,20 rdzeni,Socket 1700,Tak
BX8071514700KF,Intel,Core i7-14700KF,5,130.0,4842,"Procesor Intel Core i7-14700KF, 3.4 GHz, 33 MB, BOX (BX8071514700KF)",1 399 zł,https://images.morele.net/i256/13123070_0_i256.jpg,3.4 GHz,20 rdzeni,Socket 1700,Tak
BX8071514700K,Intel,Core i7-14700K,6,130.0,10287,"Procesor Intel Core i7-14700K, 3.4 GHz, 33 MB, OEM (CM8071504820721)","1 648,31 zł",https://images.morele.net/i256/13133372_1_i256.jpg,3.4 GHz,20 rdzeni,Socket 1700,Tak
BX8071514700K,Intel,Core i7-14700K,6,130.0,10287,"Procesor Intel Core i7-14700K, 3.4 GHz, 33 MB, BOX (BX8071514700K)",1 499 zł,https://images.morele.net/i256/13123069_0_i256.jpg,3.4 GHz,20 rdzeni,Socket 1700,Tak
BX8071513900KF,Intel,Core i9-13900KF,7,129.0,16914,"Procesor Intel Core i9-13900KF, 3 GHz, 36 MB, OEM (CM8071505094012)","2 069,54 zł",https://images.morele.net/i256/13112517_0_i256.jpg,3 GHz,24 rdzenie,Socket 1700,Tak
BX8071513900KF,Intel,Core i9-13900KF,7,129.0,16914,"Procesor Intel Core i9-13900KF, 3 GHz, 36 MB, BOX (BX8071513900KF)","2 411,94 zł",https://images.morele.net/i256/11789723_0_i256.jpg,3 GHz,24 rdzenie,Socket 1700,Tak
BX8071513900K,Intel,Core i9-13900K,8,129.0,49132,"Procesor Intel Core i9-13900K, 3 GHz, 36 MB, OEM (CM8071505094011)","2 233,98 zł",https://images.morele.net/i256/13112482_1_i256.jpg,3 GHz,24 rdzenie,Socket 1700,Tak
BX8071513900K,Intel,Core i9-13900K,8,129.0,49132,"Procesor Intel Core i9-13900K, 3 GHz, 36 MB, BOX (BX8071513900K)","3 080,22 zł",https://images.morele.net/i256/11789699_0_i256.jpg,3 GHz,24 rdzenie,Socket 1700,Tak
BX8071513700KF,Intel,Core i7-13700KF,9,126.0,20009,"Procesor Intel Core i7-13700KF, 3.4 GHz, 30 MB, OEM (CM8071504820706)","1 786,87 zł",https://images.morele.net/i256/13112511_0_i256.jpg,3.4 GHz,16 rdzeni,Socket 1700,Tak
BX8071513700K,Intel,Core i7-13700K,10,126.0,38490,"Procesor Intel Core i7-13700K, 3.4 GHz, 30 MB, OEM (CM8071504820705)","1 663,99 zł",https://images.morele.net/i256/13112509_0_i256.jpg,3.4 GHz,16 rdzeni,Socket 1700,Tak
BX8071513700K,Intel,Core i7-13700K,10,126.0,38490,"Procesor Intel Core i7-13700K, 3.4 GHz, 30 MB, BOX (BX8071513700K)","1 722,25 zł",https://images.morele.net/i256/11789666_0_i256.jpg,3.4 GHz,16 rdzeni,Socket 1700,Tak
BX8071514900,Intel,Core i9-14900,11,124.0,226,"Procesor Intel Core i9-14900, 2 GHz, 36 MB, BOX (BX8071514900)","2 598,74 zł",https://images.morele.net/i256/13155877_0_i256.jpg,2 GHz,24 rdzenie,Socket 1700,Nie
BX8071514900,Intel,Core i9-14900,11,124.0,226,"Procesor Intel Core i9-14900, 2 GHz, 36 MB, OEM (CM8071504820609)","2 689,62 zł",https://images.morele.net/i256/13172919_0_i256.jpg,2 GHz,24 rdzenie,Socket 1700,Nie
BX8071514900F,Intel,Core i9-14900F,12,124.0,1023,"Procesor Intel Core i9-14900F, 2 GHz, 36 MB, OEM (CM8071504820610)","2 641,24 zł",https://images.morele.net/i256/13172920_0_i256.jpg,2 GHz,24 rdzenie,Socket 1700,Nie
BX8071514900F,Intel,Core i9-14900F,12,124.0,1023,"Procesor Intel Core i9-14900F, 2 GHz, 36 MB, BOX (BX8071514900F)","2 475,26 zł",https://images.morele.net/i256/13155883_0_i256.jpg,2 GHz,24 rdzenie,Socket 1700,Nie
BX8071514600KF,Intel,Core i5-14600KF,13,124.0,4869,"Procesor Intel Core i5-14600KF, 3.5 GHz, 24 MB, OEM (CM8071504821014)","862,51 zł",https://images.morele.net/i256/13133235_0_i256.jpg,3.5 GHz,14 rdzeni,Socket 1700,Tak
BX8071514600KF,Intel,Core i5-14600KF,13,124.0,4869,"Procesor Intel Core i5-14600KF, 3.5 GHz, 24 MB, BOX (BX8071514600KF)",979 zł,https://images.morele.net/i256/13123072_0_i256.jpg,3.5 GHz,14 rdzeni,Socket 1700,Tak
BX8071513900F,Intel,Core i9-13900F,14,124.0,824,"Procesor Intel Core i9-13900F, 2 GHz, 36 MB, OEM (CM8071504820606)","2 004,69 zł",https://images.morele.net/i256/13112523_0_i256.jpg,2 GHz,24 rdzenie,Socket 1700,Nie
BX8071513900F,Intel,Core i9-13900F,14,124.0,824,"Procesor Intel Core i9-13900F, 2 GHz, 36 MB, BOX (BX8071513900F)","2 844,74 zł",https://images.morele.net/i256/12486212_0_i256.jpg,2 GHz,24 rdzenie,Socket 1700,Nie
BX8071514600K,Intel,Core i5-14600K,15,124.0,3343,"Procesor Intel Core i5-14600K, 3.5 GHz, 24 MB, OEM (CM8071504821015)","1 130,99 zł",https://images.morele.net/i256/13133234_1_i256.jpg,3.5 GHz,14 rdzeni,Socket 1700,Tak
BX8071514600K,Intel,Core i5-14600K,15,124.0,3343,"Procesor Intel Core i5-14600K, 3.5 GHz, 24 MB, BOX (BX8071514600K)",949 zł,https://images.morele.net/i256/13123071_0_i256.jpg,3.5 GHz,14 rdzeni,Socket 1700,Tak
BX8071513900,Intel,Core i9-13900,16,123.0,1007,"Procesor Intel Core i9-13900, 2 GHz, 36 MB, OEM (CM8071504820605)","2 758,09 zł",https://images.morele.net/i256/13112514_0_i256.jpg,2 GHz,24 rdzenie,Socket 1700,Nie
BX8071513900,Intel,Core i9-13900,16,123.0,1007,"Procesor Intel Core i9-13900, 2 GHz, 36 MB, BOX (BX8071513900)",2 719 zł,https://images.morele.net/i256/12486211_0_i256.jpg,2 GHz,24 rdzenie,Socket 1700,Nie
100-100001084WOF,AMD,Ryzen 7 9800X3D,17,122.0,2321,"Procesor AMD Ryzen 7 9800X3D, 4.7 GHz, 96 MB, OEM (100-000001084)",2 299 zł,https://images.morele.net/i256/14209712_0_i256.jpg,4.7 GHz,8 rdzeni,Socket AM5,Tak
100-100001084WOF,AMD,Ryzen 7 9800X3D,17,122.0,2321,"Procesor AMD Ryzen 7 9800X3D, 4.7 GHz, 96 MB, BOX (100-100001084WOF)",2 349 zł,https://images.morele.net/i256/14209713_2_i256.jpg,4.7 GHz,8 rdzeni,Socket AM5,Tak
BX8071513600K,Intel,Core i5-13600K,18,122.0,27559,"Procesor Intel Core i5-13600K, 3.5 GHz, 24 MB, OEM (CM8071504821005)","958,16 zł",https://images.morele.net/i256/13099603_0_i256.jpg,3.5 GHz,14 rdzeni,Socket 1700,Tak
BX8071513600K,Intel,Core i5-13600K,18,122.0,27559,"Procesor Intel Core i5-13600K, 3.5 GHz, 24 MB, BOX (BX8071513600K)","1 332,35 zł",https://images.morele.net/i256/11789603_0_i256.jpg,3.5 GHz,14 rdzeni,Socket 1700,Tak
BX8071513600KF,Intel,Core i5-13600KF,19,122.0,33334,"Procesor Intel Core i5-13600KF, 3.5 GHz, 24 MB, OEM (CM8071504821006)","858,80 zł",https://images.morele.net/i256/13094168_0_i256.jpg,3.5 GHz,14 rdzeni,Socket 1700,Tak
BX80768285K,Intel,Core Ultra 9 285K,20,121.0,93,"Procesor Intel Core Ultra 9 285K, 3.2 GHz, 36 MB, BOX (BX80768285K)",2 570 zł,https://images.morele.net/i256/14386800_1_i256.jpg,3.2 GHz,24 rdzenie,Socket 1851,Tak
BX8071514700F,Intel,Core i7-14700F,21,121.0,7379,"Procesor Intel Core i7-14700F, 2.1 GHz, 33 MB, OEM (CM8071504820816)","1 357,26 zł",https://images.morele.net/i256/13172900_0_i256.jpg,2.1 GHz,20 rdzeni,Socket 1700,Nie
BX8071514700F,Intel,Core i7-14700F,21,121.0,7379,"Procesor Intel Core i7-14700F, 2.1 GHz, 33 MB, BOX (BX8071514700F)","1 357,99 zł",https://images.morele.net/i256/13155884_0_i256.jpg,2.1 GHz,20 rdzeni,Socket 1700,Nie
BX8071514700,Intel,Core i7-14700,22,121.0,1584,"Procesor Intel Core i7-14700, 2.1 GHz, 33 MB, OEM (CM8071504820817)","1 531,65 zł",https://images.morele.net/i256/13172915_1_i256.jpg,2.1 GHz,20 rdzeni,Socket 1700,Nie
BX8071514700,Intel,Core i7-14700,22,121.0,1584,"Procesor Intel Core i7-14700, 2.1 GHz, 33 MB, BOX (BX8071514700)","1 421,95 zł",https://images.morele.net/i256/13155878_0_i256.jpg,2.1 GHz,20 rdzeni,Socket 1700,Nie
BX8071513700F,Intel,Core i7-13700F,23,121.0,4561,"Procesor Intel Core i7-13700F, 1.5 GHz, 30 MB, OEM (CM8071504820806)","1 247,99 zł",https://images.morele.net/i256/13112521_0_i256.jpg,1.5 GHz,16 rdzeni,Socket 1700,Nie
BX8071513700F,Intel,Core i7-13700F,23,121.0,4561,"Procesor Intel Core i7-13700F, 1.5 GHz, 30 MB, BOX (BX8071513700F)",1 299 zł,https://images.morele.net/i256/12462060_0_i256.jpg,1.5 GHz,16 rdzeni,Socket 1700,Nie
BX8071513700,Intel,Core i7-13700,24,121.0,2216,"Procesor Intel Core i7-13700, 1.5 GHz, 30 MB, OEM (CM8071504820805)","1 513,28 zł",https://images.morele.net/i256/13112520_0_i256.jpg,1.5 GHz,16 rdzeni,Socket 1700,Nie
BX8071513700,Intel,Core i7-13700,24,121.0,2216,"Procesor Intel Core i7-13700, 1.5 GHz, 30 MB, BOX (BX8071513700)","1 366,79 zł",https://images.morele.net/i256/12462059_0_i256.jpg,1.5 GHz,16 rdzeni,Socket 1700,Nie
100-100000719WOF,AMD,Ryzen 9 9950X3D,25,120.0,134,"Procesor AMD Ryzen 9 9950X3D, 4.3 GHz, 128 MB, BOX (100-100000719WOF)",3 499 zł,https://images.morele.net/i256/14743984_1_i256.jpg,4.3 GHz,16 rdzeni,Socket AM5,Tak
